wavelength,black 2 (1.5 D),blue,blue flower,blue sky,bluish green,cyan,dark skin,foliage,green,light skin,magenta,moderate red,neutral 3.5 (1.05 D),neutral 5 (.70 D),neutral 6.5 (.44 D),neutral 8 (.23 D),orange,orange yellow,purple,purplish blue,red,white 9.5 (.05 D),yellow,yellow green
730.0,0.032,0.064,0.522,0.102,0.245,0.082,0.372,0.358,0.089,0.783,0.813,0.596,0.085,0.189,0.335,0.562,0.637,0.701,0.422,0.139,0.729,0.885,0.792,0.375
735.0,0.032,0.07,0.521,0.104,0.251,0.09,0.392,0.362,0.092,0.788,0.814,0.595,0.085,0.188,0.334,0.56,0.639,0.701,0.436,0.149,0.729,0.885,0.79,0.382
740.0,0.032,0.079,0.521,0.104,0.26,0.1,0.409,0.364,0.094,0.791,0.813,0.593,0.085,0.188,0.333,0.56,0.638,0.701,0.451,0.162,0.727,0.884,0.787,0.392
745.0,0.032,0.091,0.516,0.104,0.269,0.116,0.42,0.36,0.097,0.787,0.81,0.587,0.084,0.187,0.332,0.558,0.633,0.695,0.46,0.178,0.723,0.884,0.782,0.401
750.0,0.032,0.104,0.514,0.104,0.278,0.133,0.436,0.362,0.102,0.789,0.808,0.584,0.084,0.187,0.331,0.557,0.633,0.694,0.471,0.197,0.721,0.883,0.778,0.412
755.0,0.032,0.12,0.514,0.106,0.288,0.154,0.45,0.364,0.106,0.794,0.811,0.584,0.084,0.186,0.33,0.556,0.636,0.696,0.481,0.219,0.724,0.882,0.78,0.422
760.0,0.032,0.138,0.517,0.106,0.297,0.176,0.462,0.368,0.11,0.801,0.814,0.586,0.084,0.185,0.329,0.555,0.641,0.7,0.492,0.242,0.728,0.882,0.782,0.433
765.0,0.032,0.154,0.515,0.107,0.301,0.191,0.465,0.368,0.111,0.799,0.813,0.584,0.084,0.185,0.328,0.554,0.639,0.698,0.495,0.259,0.727,0.881,0.781,0.436
770.0,0.032,0.168,0.5,0.11,0.297,0.2,0.448,0.355,0.112,0.771,0.785,0.566,0.083,0.184,0.327,0.553,0.616,0.673,0.482,0.275,0.702,0.88,0.752,0.426
775.0,0.032,0.186,0.491,0.115,0.296,0.208,0.432,0.346,0.112,0.747,0.765,0.551,0.083,0.184,0.326,0.551,0.598,0.653,0.471,0.294,0.68,0.88,0.728,0.413
780.0,0.032,0.204,0.487,0.12,0.296,0.214,0.421,0.341,0.112,0.734,0.752,0.54,0.083,0.183,0.325,0.55,0.582,0.639,0.467,0.316,0.664,0.879,0.71,0.404
